Date,Station,Depth,Calculated Chlorophyll,Calculated Oxygen,Calculated SPM,Calculated Extinction Coefficient,Salinity,Temperature,Nitrite,Nitrate + Nitrite,Ammonium,Phosphate,Silicate
1/9/2007,36.0,1.0,6.3,, 48,,26.04,9.45,,,,,
1/9/2007,36.0,2.0,6.3,, 70,,25.99,9.53,,84.39,9.45,8.60,123.69
1/9/2007,36.0,3.0,6.4,, 75,,25.94,9.58,,,,,
1/9/2007,36.0,4.0,6.4,, 75,,25.91,9.60,,,,,
1/9/2007,36.0,5.0,6.4,, 78,,25.94,9.60,,,,,
1/9/2007,36.0,6.0,6.4,, 78,,26.01,9.60,,,,,
1/9/2007,35.0,1.0,6.5,, 45,,26.44,9.43,,,,,
1/9/2007,35.0,2.0,6.5,, 53,,26.10,9.50,,,,,
1/9/2007,35.0,3.0,6.5,, 57,,26.17,9.54,,,,,
1/9/2007,35.0,4.0,6.5,, 57,,26.37,9.55,,,,,
1/9/2007,35.0,5.0,6.5,, 58,,26.48,9.56,,,,,
1/9/2007,35.0,6.0,6.5,, 61,,26.57,9.53,,,,,
1/9/2007,35.0,7.0,6.6,, 72,,26.60,9.54,,,,,
1/9/2007,35.0,8.0,6.6,, 89,,26.63,9.54,,,,,
1/9/2007,34.0,1.0,5.4,, 33,,26.55,9.17,,,,,
1/9/2007,34.0,2.0,5.4,, 37,,26.47,9.29,,,,,
1/9/2007,34.0,3.0,5.5,, 40,,26.46,9.36,,,,,
1/9/2007,34.0,4.0,5.6,, 43,,26.45,9.43,,,,,
1/9/2007,34.0,5.0,5.7,, 51,,26.45,9.46,,,,,
1/9/2007,34.0,6.0,5.7,, 81,,26.50,9.47,,,,,
1/9/2007,33.0,1.0,5.7,, 42,,26.90,9.48,,,,,
1/9/2007,33.0,2.0,5.7,, 52,,26.92,9.58,,,,,
1/9/2007,33.0,3.0,5.8,, 56,,26.93,9.58,,,,,
1/9/2007,33.0,4.0,5.8,, 63,,26.97,9.59,,,,,
1/9/2007,33.0,5.0,5.9,, 60,,26.96,9.59,,,,,
1/9/2007,33.0,6.0,5.9,, 60,,26.97,9.59,,,,,
1/9/2007,33.0,7.0,5.8,, 61,,26.99,9.60,,,,,
1/9/2007,33.0,8.0,5.9,, 65,,27.01,9.60,,,,,
1/9/2007,33.0,9.0,6.0,, 68,,27.01,9.60,,,,,
1/9/2007,33.0,10.0,6.6,,100,,27.09,9.64,,,,,
1/9/2007,33.0,11.0,7.4,,175,,27.18,9.68,,,,,
1/9/2007,33.0,12.0,8.5,,215,,27.19,9.68,,,,,
1/9/2007,32.0,1.0,5.5,9.0, 26,,26.57,9.28,,,,,
1/9/2007,32.0,2.0,5.5,9.0, 35,,26.77,9.45,,65.59,8.85,7.38,116.91
1/9/2007,32.0,3.0,5.5,9.0, 43,,26.96,9.54,,,,,
1/9/2007,32.0,4.0,5.5,9.0, 45,,27.03,9.56,,,,,
1/9/2007,32.0,5.0,5.6,9.0, 52,,27.15,9.61,,,,,
1/9/2007,32.0,6.0,5.8,8.9, 75,,27.25,9.65,,,,,
1/9/2007,32.0,7.0,6.1,8.9, 87,,27.28,9.66,,,,,
1/9/2007,32.0,8.0,6.4,8.9,101,,27.30,9.66,,,,,
1/9/2007,32.0,9.0,6.7,8.9,120,,27.31,9.67,,,,,
1/9/2007,32.0,10.0,7.0,8.9,130,,27.31,9.66,,,,,
1/9/2007,32.0,11.0,7.0,8.9,184,,27.31,9.66,,,,,
1/9/2007,31.0,1.0,5.3,8.9, 29,,27.41,9.61,,,,,
1/9/2007,31.0,2.0,5.3,8.9, 32,,27.45,9.66,,,,,
1/9/2007,31.0,3.0,5.2,8.9, 40,,27.49,9.69,,,,,
1/9/2007,31.0,4.0,5.3,8.9, 42,,27.51,9.71,,,,,
1/9/2007,31.0,5.0,5.3,8.9, 46,,27.51,9.72,,,,,
1/9/2007,31.0,6.0,5.4,8.9, 50,,27.51,9.73,,,,,
1/9/2007,31.0,7.0,5.5,8.9, 54,,27.51,9.73,,,,,
1/9/2007,31.0,8.0,5.7,8.9, 67,,27.54,9.75,,,,,
1/9/2007,31.0,9.0,5.9,8.9, 75,,27.55,9.76,,,,,
1/9/2007,31.0,10.0,6.3,8.9, 87,,27.57,9.76,,,,,
1/9/2007,31.0,11.0,6.6,8.9,113,,27.58,9.77,,,,,
1/9/2007,31.0,12.0,7.1,8.9,124,,27.59,9.77,,,,,
1/9/2007,31.0,13.0,7.1,8.9,171,,27.60,9.78,,,,,
1/9/2007,30.0,1.0,5.3,8.9, 30,,27.63,9.68,,,,,
1/9/2007,30.0,2.0,5.3,8.9, 33,,27.69,9.77,,53.52,10.02,6.46,107.20
1/9/2007,30.0,3.0,5.2,8.9, 37,,27.74,9.82,,,,,
1/9/2007,30.0,4.0,5.2,8.8, 39,,27.78,9.84,,,,,
1/9/2007,30.0,5.0,5.1,8.8, 41,,27.80,9.84,,,,,
1/9/2007,30.0,6.0,5.0,8.8, 41,,27.84,9.84,,,,,
1/9/2007,30.0,7.0,5.0,8.8, 44,,27.85,9.85,,,,,
1/9/2007,30.0,8.0,5.1,8.8, 48,,27.86,9.85,,,,,
1/9/2007,30.0,9.0,5.2,8.8, 55,,27.86,9.85,,,,,
1/9/2007,30.0,10.0,5.3,8.8, 63,,27.86,9.85,,,,,
1/9/2007,30.0,11.0,5.5,8.8, 72,,27.86,9.85,,,,,
1/9/2007,30.0,12.0,5.7,8.8, 85,,27.86,9.85,,,,,
1/9/2007,30.0,13.0,5.7,8.8,112,,27.86,9.85,,,,,
1/9/2007,29.5,1.0,4.6,8.8, 22,,27.80,9.81,,,,,
